clust,num,tissue.subsets,tissue,identity.super,identity.sub,identity.super.short,identity.sub.short,zfin,daniocell.cluster,clust.collapse,ident.gene.1,ident.gene.2,ident.gene.3,roc.1,roc.2,roc.3,roc.4,roc.5,roc.6,wilcox.1,wilcox.2,wilcox.3,wilcox.4,wilcox.5,wilcox.6,
fin.16,16,fin,fin mesenchyme,medial fin mesenchyme,"ventral fold, caudal (eve1/hoxc13b+)",medial fin mesenchyme,"ventral fold, caudal","ZFA:0000393,ZFA:0005597,ZFA:0001069",fin.16,fin.ct.13,and1/and2/and4,twist1a/twist1b/prrx1b,eve1/hoxb13a/hoxc13b,c1qtnf5,CABZ01074130.1,hoxa13a,LOC100538221,fbln1,mxra5b,angptl6,zdhhc23a,zic2b,hoxa13a,hoxb13a,serpinf1,
fin.17,17,fin,fin mesenchyme,pectoral fin mesenchyme,,pectoral fin mesenchyme,,"ZFA:0000393,ZFA:0001161",fin.17,fin.ct.13,and1/and2,twist1a/twist1b/prrx1b,tbx5a/tbx15,hoxa13b,ntd5,pmp22a,tbx5a,prrx1b,stox1,asip1,bgnb,fgfbp2a,tbx5a,csf1b,hand2,
fin.18,18,fin,fin epithelia,fin epidermis,"medial fin (krt97+), 24-58 hpf",fin epidermis,"medial fin, 24-58 hpf","ZFA:0000105,ZFA:0005597",fin.18,fin.ct.6,and1/and2/and3,cldn1/cldni,krt97,vcana,actb1,si:ch211-243g18.2,padi2,zgc:92380,egfl6,vcana,itgbl1,frem3,si:ch211-243g18.2,pdgfaa,actb1,
fin.19,19,fin,fin epithelia,epidermis/periderm,,epidermis/periderm,,"ZFA:0000105,ZFA:0001185,ZFA:0000108",fin.19,fin.ct.1,lye/cldn1/cldni,,,agr1,zgc:193505,krt4,aep1,icn2,cst14b.1,zgc:112964,ponzr4,nos1,tgm1l4,osgn1,zgc:163121,
fin.20,20,fin,fin epithelia,epidermis/periderm,likely pharyngeal/oral (postna/barx2/fmodb+),epid./periderm,pharyng./oral (postna/barx2+),"ZFA:0000105,ZFA:0001185,ZFA:0000108",fin.20,fin.ct.1,lye/cldn1/cldni,postna/barx2/fmodb,,eppk1,zgc:111983,cldne,si:ch73-204p21.2,si:dkeyp-51b9.3,elovl7b,barx2,si:ch73-97h19.2,pkhd1l1,si:dkey-43p13.5,osr1,synm,
fin.21,21,fin,fin epithelia,fin ionocytes,technical (high mito),fin ionocytes,technical (high mito),"ZFA:0005323,ZFA:0000108",fin.21,,and1/and2/and3,foxi3a/b,,mt-cyb,mt-atp6,mt-co2,COX3,mt-co1,mt-nd1,sstr5,foxi3b,gcm2,foxi3a,etf1a,CR356236.1,
fin.22,22,fin,,likely doublets,fin / gill,likely doublets,fin / gill,,fin.22,,and1/and2/and3,,,pvalb8,grp,cldnh,prr15la,CR759836.1,itpr3,gfral,prr15la,si:ch211-256e16.6,gcnt7,grp,dmrta2,
glia.1,1,glial,glial,radial glia (+ some floor plate),brain (cx43+/glula+),radial glia + floor plate,brain (cx43+/glula+),"ZFA:0009292,ZFA:0000022",glia.1,glia.ct.27,atp1a1b/atp1b4,cx43,gfap–/glula+/mdkb,slc1a2b,fabp7a,atp1a1b,mdkb,glula,slc6a1b,abat,abi3a,acaa1,acadl,acbd7,adora2b,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6983714/
glia.2,2,glial,spinal cord,floor plate,lateral,floor plate,lateral,"ZFA:0000022,ZFA:0001256",glia.2,glia.ct.2,foxa/foxa1/foxa2,shha/shhb,nkx2.2a/nkx2.2b/nkx6.2,ntn1a,XLOC-003689,her15.1,cldn5a,ntn1b,lrrn1,barhl1b,cldn5a,dmrta2,foxa,foxa1,foxa2,
glia.3,3,glial,spinal cord,spinal cord,"interneurons, glycinergic, GABAergic",spinal cord,"interneurons, glycin-/GABAergic","ZFA:0000075,ZFA:0000778,ZFA:0009396,ZFA:0009276",glia.3,glia.ct.3,slc6a5,gad1b/gad2,pax2a/lhx1a,slc32a1,stxbp1a,stx1b,slc6a5,lhx1a,sncgb,adam22,adam23a,add2,aig1,amph,ank3a,
glia.4,4,glial,spinal cord,spinal cord,"interneurons, glutamatergic",spinal cord,"interneurons, glutamatergic","ZFA:0000075,ZFA:0000778,ZFA:0009290",glia.4,glia.ct.4,slc17a6a,lhx9,elavl3/elav4,nrn1a,stmn1b,ptmaa,sncb,gng3,elavl4,adam22,adam23a,adcyap1b,add2,aig1,amph,
glia.5,5,glial,spinal cord,spinal cord,"proliferative, 18-48 hpf (some RG expression)",spinal cord,"prolif., 18-48 hpf (some RG expr.)",ZFA:0000075,glia.5,glia.ct.5,gfap,pcna/top2a/kpna2,atp1a1b/atp1b4/fabp7a,mki67,hmgb2a,tuba8l,tpx2,ube2c,hmgn2,adamts3,ago1,ahcy,anln,anp32a,anp32b,
glia.6,6,glial,spinal cord,motor neurons,primary motor neurons (olig2+),motor neurons,primary motor neurons (olig2+),"ZFA:0000075,ZFA:0009052,ZFA:0009244",glia.6,glia.ct.11,neurod4/olig2,dlb/dla,insm1a/1b,neurod4,dla,LOC798783,dlb,gadd45gb.1,si:ch211-222l21.1,acap3b,btbd6a,BX088707.3,BX530077.1,cdkn1ca,cep131,https://www.jbc.org/article/S0021-9258(22)00895-X/pdf
glia.7,7,glial,glial,radial glia,"brain, S-phase (emx2/3+, fezf1/2+)",radial glia,"brain, S-phase (emx2/3+, fezf1/2+)",ZFA:0009292,glia.7,glia.ct.27,fabp7a/atp1a1b/atp1b4,fezf1/fezf2,emx2/3,fabp7a,rplp1,si:dkey-151g10.6,rps29,nme2b.1,rpl37,fabp7a,fezf1,fezf2,foxg1a,hs3st1l2,rplp1,
glia.8,8,glial,spinal cord,spinal cord,14-18 hpf,spinal cord,14-18 hpf,"ZFA:0000075,ZFA:0007028,ZFA:0007035",glia.8,glia.ct.5,cdx4,hoxb7a/hoxa9a,cdx1a–/hoxb4a–,npm1a,hspb1,cdx4,snu13b,nop58,eef1a1l1,aamp,aatf,abce1,abcf1,abcf2a,abracl,
glia.9,9,glial,spinal cord,spinal cord,intermediate (dbx1a/b+),spinal cord,intermediate (dbx1a/b+),ZFA:0000075,glia.9,glia.ct.5,dbx1b/dbx1a,gfap,,gfap,mdka,si:ch73-21g5.7,vim,notch3,slc6a9,CABZ01093502.1,gfap,LOC101882472,mdka,notch3,plp1a,
glia.10,10,glial,spinal cord,spinal cord,"proliferative, 18-48 hpf (some RG expression)",spinal cord,"prolif., 18-48 hpf (some RG expr.)","ZFA:0000075,ZFA:0007042",glia.10,glia.ct.5,gfap,pcna/mki67/mcm7,atp1a1b/atp1b4/fabp7a,pcna,stmn1a,rps7,rpl26,rps15a,ran,adssl,ahcy,anp32b,asf1ba,asf1bb,banf1,
glia.11,11,glial,spinal cord,motor neurons,hindbrain (phox2a/phox2bb+),motor neurons,hindbrain (phox2a/2bb+),"ZFA:0000075,ZFA:0009052,ZFA:0005730",glia.11,glia.ct.11,phox2bb,phox2a,isl2a/isl1,phox2bb,phox2a,slit3,tubb5,elavl3,tmsb,adcyap1b,agrn,AL954322.2,aplp1,cbfb,chodl,
glia.12,12,glial,glial,radial glia,"36-72 hpf, pax3a/7a/7b+, lbx1b+",radial glia,"36-72 hpf, pax3a/7a/7b+, lbx1b+",ZFA:0009292,glia.12,glia.ct.27,fabp7a/atp1a1b/atp1b4,lbx1b,pax3a/pax7a/pax7b,CU634008.1,CR848047.1,CU467822.1,fabp7a,notch3,zgc:165461,cd82a,chfr,ckbb,CR751602.2,CR848047.1,cspg5a,
glia.13,13,glial,spinal cord,motor neurons,"spinal cord, cholinergic-enriched (lhx4+/chata+)",motor neurons,"spinal cord, cholinergic-enriched","ZFA:0000075,ZFA:0009052,ZFA:0009060",glia.13,glia.ct.11,lhx4/slc18a3a,chata/ache,isl1/isl2a/islr2,slc18a3a,syt2a,elavl4,cplx2,agrn,slit3,aacs,abcg4a,ache,aclya,adam19b,adam22,
glia.14,14,glial,spinal cord,sensory neurons,"spinal cord, dorsal (pax3a/msx1b/msx3+)",sensory neurons,dorsal spinal (pax3a/msx1b/3+),"ZFA:0000075,ZFA:0000200",glia.14,glia.ct.14,msx1b/msx3,pax3a,olig3,slc1a3a,pax3a,msx1b,olig3,prss35,mdka,atoh1a,atoh8,cyp27c1,fzd10,gas1a,gas1b,dorsal spinal cord sensory neurons
glia.15,15,glial,spinal cord,floor plate,medial (sspo/shh+),floor plate,medial (sspo/shh+),"ZFA:0000022,ZFA:0001257",glia.15,glia.ct.15,scospondin,shha/shhb,foxj1a/tbata,sparc,spon1b,shha,ntn1b,slit2,slit1b,abca1b,abcc1,acvrl1,adamts14,adamtsl3,ahnak,
glia.16,16,glial,spinal cord,spinal cord,"developing interneurons (pax2a/2b/8+, olig2+/olig4+)",spinal cord,developing interneurons,"ZFA:0000075,ZFA:0000778",glia.16,glia.ct.3,hoxa9a/hoxb9a,pax2a/2b/8,olig2/olig4,scrt2,nhlh2,elavl3,dlb,hes6,ebf2,atcaya,BX530077.1,cirbpb,cttnbp2nlb,dclk2a,dlb,GABAergic neuron precursors
glia.17,17,glial,glial,radial glia,spinal cord (stm/pbxip1b+),radial glia,spinal cord (stm/pbxip1b+),"ZFA:0009292,ZFA:0000075",glia.17,glia.ct.17,gfap,stm,pbxip1b,gfap,cldn7a,igfbp7,atp1a1b,plecb,pbxip1b,ahcyl1,aldocb,aoc2,atp1a1b,atp1b4,ca6,
glia.18,18,glial,glial,radial glia,"brain, progenitors, S-phase (zic1/2a/4/6+, gdf10+, atoh8+)",radial glia,"brain, progen., S-phase (zic1/2a/4/6+)",ZFA:0009292,glia.18,glia.ct.27,fabp7a/atp1a1b/atp1b4,zic1/2a/4/6,gdf10a/atoh8/clybl,zic1,zic2a,nme2b.1,zic4,mdka,mdkb,BX469902.1,clybl,CR848047.1,gdf10a,nfia,si:ch211-66e2.5,
glia.19,19,glial,glial,oligodendrocytes,brain,oligodendrocytes,brain,ZFA:0009076,glia.19,glia.ct.19,mbpa/mbpb/zwi,foxd3/gldn,depdc7a,zwi,phlda2,cldn19,gpm6ab,zgc:112994,mbpb,aatka,aatkb,adgrg6,afap1l2,anxa13l,asmtl,
glia.20,20,glial,glial,oligodendrocytes,"spinal cord, precursors",oligodendrocytes,"spinal cord, precursors","ZFA:0009076,ZFA:0000075",glia.20,glia.ct.23,gfap/olig2,"nkx2.2a/b, nkx2.9",foxj1a/gmnc,si:ch73-265d7.2,col11a1a,daw1,zgc:55461,smkr1,enkur,adamts3,adrb3a,ak7a,ankrd45,CABZ01072077.1,catip,
glia.21,21,glial,spinal cord,motor neurons,"spinal cord, dorsal longitudinal interneuron, isl2b+/islr2+",motor neurons,"spinal cord, dorsal longitudinal","ZFA:0000075,ZFA:0000778,ZFA:0005178",glia.21,glia.ct.11,isl1/isl2a/2b,mnx1/islr2+,gfap–/elavl4+,CR383676.1,sox4a,elavl4,islr2,ptmaa,tmsb,CR383676.1,elavl4,hunk,isl1,isl2a,isl2b,
glia.22,22,glial,spinal cord,floor plate,lateral (nkx2.2b+),floor plate,lateral (nkx2.2b+),"ZFA:0000022,ZFA:0001256",glia.22,glia.ct.2,nkx2.2a/b,nkx2.9,,mki67,cdc20,ube2c,tpx2,ccnb1,si:ch211-69g19.2,arhgap19,armc1l,aspm,aurka,aurkb,birc5a,
glia.23,23,glial,glial,oligodendrocytes,"spinal cord, precursors (lmo7a+)",oligodendrocytes,"spinal cord, precursors (lmo7a+)","ZFA:0009076,ZFA:0000075",glia.23,glia.ct.23,olig2,lmo7a,nkx2.2a,marcksl1b,tuba8l3,gpm6ab,kcnj11l,olig2,cd82a,aatka,abca2,acta2,ankrd50l,ap1m3,ap1s3b,
glia.24,24,glial,glial,retina,Muller glia,retina,Muller glia,ZFA:0009280,glia.24,glia.ct.24,rlbp1a,mt2,apoeb,rlbp1a,si:dkey-16p21.8,acbd7,glulb,fabp7a,cavin2a,abch1,abi3a,acbd7,ahr1b,alpl,apoeb,
glia.25,25,glial,,likely doublets,epidermis / blood,likely doublets,epidermis / blood,,glia.25,,hbbe3,icn,krt4,krt4,cyt1,rps29,cyt1l,si:dkey-151g10.6,rps28,hbbe3,icn2,cyt1l,cyt1,krt4,icn,
glia.26,26,glial,spinal cord,spinal cord,"posterior, oligodendrocyte precursor cells (eve1+/foxj1a+)",spinal cord,"posterior, oligodend. precursor",ZFA:0000075,glia.26,glia.ct.26,"hoxc13a/13b, hoxa13a, hoxb13a, eve1",foxj1a/tbata/spata4,olig3,si:dkeyp-110a12.4,krt18a.1,hoxc13a,hoxc13b,hoxb13a,smkr1,ackr3a,ak7a,ak7b,ankmy1,ankrd45,ANKRD66,
glia.27,27,glial,glial,radial glia,"brain, M-phase",radial glia,"brain, M-phase",ZFA:0009292,glia.27,glia.ct.27,fabp7a/atp1a1b/atp1b4,cdk1/mki67,kpna2,ube2c,tuba8l,cdk1,mki67,hmgn2,tubb4b,aspm,aurka,aurkb,birc5a,ccnb1,ccnb3,
glia.28,28,glial,glial,radial glia,gdf7+/lmx1a+,radial glia,gdf7+/lmx1a+,ZFA:0009292,glia.28,glia.ct.28,zic2a/zic5,gdf7/lmx1a,gfap,mdka,pmp22a,krt18a.1,igfbp7,wls,krt8,adamtsl5,ahnak,angptl2a,aoc2,b3gnt7l,bag2,
glia.29,29,glial,glial,newborn neurons (Muller glia progeny),GABAergic (gad1b/gad2),newborn neurons,GABAergic,"ZFA:0009248,ZFA:0009276,ZFA:0009280",glia.29,,gfap,rlbp1a+/mt2+,gad1b/gad2,snap25b,atp6v0cb,gapdhs,syt5b,atp6v1e1b,sypb,bhlhe23,BX663503.1,cabp2a,CABZ01038709.1,calb2b,cnrip1b,
glia.30,30,glial,spinal cord,Kolmer-Agduhr / CSF-contacting neurons,"sst1.1+, urp1/2+",K-A / CSF-contacting neurons,"sst1.1+, urp1/2+","ZFA:0000075,ZFA:0007120,ZFA:0005240",glia.30,glia.ct.30,pkd2l1,pkd1l2a,"urp1/2, sst1.1",scg2a,nppc,pkd1l2a,tal2,pkd2l1,sox1b,AL831726.1,amigo3,atp11a,atp1a3b,baiap2a,baiap2l1b,
glia.31,31,glial,glial,oligodendrocytes,ganglion-associated,oligodendrocytes,ganglion-associated,ZFA:0009076,glia.31,glia.ct.19,mbpa/mbpb/zwi,sst6/dkk3a,nefla/neflb/nefma,zgc:65851,atp1a3b,anxa13l,atp1b1b,atp2b3b,eno1a,actr3b,acy3.1,ampd3a,atp1b1b,CABZ01068367.1,cacnb3b,
hema.1,1,hematopoietic,erythrocytes,erythrocytes (primitive),mature,erythrocytes (primitive),mature,ZFA:0005237,hema.1,hema.ct.14,hbbe2,hbae1,creg1,hbbe2,creg1,fth1a,si:ch211-250g4.3,pvalb2,pvalb1,actc1b,apoa2,cahz,creg1,fth1a,gpx1a,
hema.2,2,hematopoietic,vasculature,vasculature,vein,vasculature,vein,ZFA:0000082,hema.2,hema.ct.2,mrc1a,stab1,dab2,plvapb,dab2,mrc1a,cpn1,cd81a,krt18a.1,ACKR2,adgrl4,adora2b,adra1d,afap1l1b,afdna,
hema.3,3,hematopoietic,erythrocytes,erythrocytes (primitive),differentiating,erythrocytes (primitive),differentiating,ZFA:0005237,hema.3,hema.ct.14,hbae3,hbbe1.1,hbbe1.2,hbbe2,creg1,hbae3,si:ch211-250g4.3,gpx1a,hbbe1.3,cahz,creg1,fth1a,gpx1a,hbae3,hbbe1.1,
hema.4,4,hematopoietic,erythrocytes,erythrocytes (primitive),differentiating,erythrocytes (primitive),differentiating,ZFA:0005237,hema.4,hema.ct.14,hbae3,hbbe1.1,hbbe1.2,hbae3,hbbe1.3,hbbe2,si:ch211-250g4.3,hbae1.3,hbae1.1,creg1,hbae1.1,hbae1.3,hbae3,hbbe1.1,hbbe1.3,
hema.5,5,hematopoietic,erythrocytes,erythrocytes (primitive),early,erythrocytes (primitive),early,ZFA:0005237,hema.5,hema.ct.14,hbbe3,alas2,slc4a1a,hbbe3,urod,hmbsb,hbae1.3,hbae1.1,hmbsa,abcb10,alad,alas2,arl4aa,blf,blvra,
hema.6,6,hematopoietic,erythrocytes,hematopoietic stem cell,erythroid (HSPC-1),hematopoietic stem cell,erythroid (HSPC-1),"ZFA:0009014,ZFA:0009021",hema.6,hema.ct.6,mgst1.2,myb,blf,rps12,rps9,rpl11,rps20,rpl22l1,rpl7,aamp,ahcy,AK6,ankhb,arid3a,atp5mc3b,
hema.7,7,hematopoietic,vasculature,vasculature,arteries (incl. hypophyseal),vasculature,arteries (incl. hypophyseal),"ZFA:0000005,ZFA:0005787",hema.7,hema.ct.7,plvapa/plvapb,mrc1a-,,plvapb,krt8,tmsb4x,plvapb,cdh5,marcksl1a,cd81b,cdh5,cldn5b,clec14a,col4a1,cpn1,
hema.8,8,hematopoietic,,likely doublets,blood / neural,likely doublets,blood / neural,,hema.8,,elavl3,stmn1b,hbbe2,elavl3,stmn1b,tuba1c,gpm6aa,rtn1a,ptmaa,adam22,adam23a,adcyap1b,amph,ank2b,ank3a,
hema.9,9,hematopoietic,erythrocytes,erythrocytes (primitive),NA,erythrocytes (primitive),NA,ZFA:0005237,hema.9,hema.ct.14,hbae1.1,hbbe1.3,alas2,hbae1.1,hbbe1.3,alas2,cahz,hbae3,hbbe1.2,alas2,cahz,hbae1.1,hbae3,hbbe1.2,hbbe1.3,
hema.10,10,hematopoietic,immune,granulocytes,neutrophils,granulocytes,neutrophils,ZFA:0009327,hema.10,hema.ct.10,lyz,npsn,lect2l/mpx,lyz,npsn,pfn1,srgn,mpx,actb2,abcb9,abcc13,abhd2a,abi3a,ablim1a,abracl,
hema.11,11,hematopoietic,erythrocytes,erythrocytes (primitive),NA,erythrocytes (primitive),NA,ZFA:0005237,hema.11,hema.ct.14,hbae1.1,hbae3,alas2,hbae1.1,hbbe1.3,hbae1.3,hbae3,hbbe3,hbbe1.2,hbae1.1,hbbe1.3,hbbe3,hbae1.3,alas2,hbae3,
hema.12,12,hematopoietic,immune,macrophages,M1/M2,macrophages,M1/M2,ZFA:0009141,hema.12,hema.ct.12,mpeg1.1,il1b,nfkbiaa,tspan36,mfap4,havcr1,lygl1,ctss2.2,cmklr1,abca1b,abcc5,abcg2a,abhd12,abi3a,acp5a,
hema.13,13,hematopoietic,,likely doublets,,likely doublets,,,hema.13,,mfap2,rbp4,col1a2,sparc,col5a1,pmp22a,col1a2,mfap2,col1a1a,abi3bpb,adgrl2a,admb,alx4a,angptl1a,angptl5,
hema.14,14,hematopoietic,erythrocytes,erythroblasts (primitive),,erythroblasts (primitive),,ZFA:0005237,hema.14,hema.ct.14,drl,urod,gata1a,urod,hmbsa,cpox,alad,hmbsb,hbbe3,aamp,abcb10,abce1,acss1,adcy6a,adora2aa,
hema.15,15,hematopoietic,immune,hematopoietic stem cell,lymphoid (HSPC-2),hematopoietic stem cell,lymphoid (HSPC-2),"ZFA:0009014,ZFA:0009023",hema.15,hema.ct.15,cebpb,ccr9a/9b,runx3,XLOC-013964,XLOC-010899,si:ch211-214p16.1,nme2b.1,XLOC-000431,rplp1,agap2,arhgdig,arpp21,BX005105.1,ccl33.3,ccr9a,
hema.16,16,hematopoietic,immune,hematopoietic stem cell,myeloid (HSPC-3),hematopoietic stem cell,myeloid (HSPC-3),"ZFA:0009014,ZFA:0009021",hema.16,hema.ct.12,csf1ra-/csf1rb-,mfap4,lygl1,pfn1,cotl1,tmsb4x,actb2,lgals2a,coro1a,arpc1b,BX649485.2,ccl34a.4,coro1a,cotl1,ctss2.1,
hema.17,17,hematopoietic,,likely doublets,blood / neural,likely doublets,blood / neural,,hema.17,,slc1a2b,sox2/sox3,mdka/mdkb,fabp7a,her15.1,CU467822.1,XLOC-003690,mdkb,fabp3,atp1a1b,atp1b4,CR848047.1,cspg5a,CU467822.1,dla,
hema.18,18,hematopoietic,vasculature,vasculature,aorta (incl. aqp8a+),vasculature,aorta (incl. aqp8a+),"ZFA:0000005,ZFA:0000014",hema.18,hema.ct.18,cxcr4a,mrc1a-,stab2,krt18a.1,krt8,si:ch211-156j16.1,mcamb,cdh5,cldn5b,akap12b,aqp1a.1,aqp8a.1,arhgef9b,CABZ01030107.1,CABZ01084131.1,
hema.19,19,hematopoietic,erythrocytes,hemangioblasts,ICM / RBI / endothelial,hemangioblasts,ICM / RBI / endothelial,"ZFA:0000033,ZFA:0005029,ZFA:0009065",hema.19,hema.ct.23,tal1,spi1b,etv2,etv2,h3f3d,khdrbs1a,ybx1,hnrnpaba,h2afvb,arid3b,BX001014.2,BX005254.3,BX927258.1,CABZ01018269.1,CABZ01075068.1,
hema.20,20,hematopoietic,blastomeres,ventrolateral mesoderm,,ventrolateral mesoderm,,ZFA:0001065,hema.20,hema.ct.23,irx7,cdx4,drl,NC-002333.4,ncl,hspb1,hmga1a,npm1a,hnrnpa1b,acin1a,add3b,AL935174.5,alcamb,aldob,anp32e,
hema.21,21,hematopoietic,vasculature,hemogenic endothelium,,hemogenic endothelium,,"ZFA:0005257,ZFA:0005898",hema.21,hema.ct.21,dnmt3bb.1,spi2,myb,si:ch211-214p16.1,si:ch211-214p16.2,si:ch211-161c3.6,rplp1,rps24,rpl21,agap2,b2m,cd7al,coro1a,csf1rb,CU499330.1,
hema.22,22,hematopoietic,erythrocytes,erythrocytes (primitive),hsp70+,erythrocytes (primitive),hsp70+,ZFA:0005237,hema.22,hema.ct.14,hsp70l,hbbe1.1,hbae3,hbae3,hsp70l,hbbe1.1,hbae1.1,hbbe1.3,nt5c2l1,hsp70.1,hsp70.2,hsp70.3,hsp70l,gp9,hbae3,
hema.23,23,hematopoietic,erythrocytes,hemangioblasts,inner cell mass (ICM),hemangioblasts,inner cell mass (ICM),ZFA:0000033,hema.23,hema.ct.23,tal1,gata2a,lmo2,wu:fb97g03,znfl2a,ran,cnbpa,cldng,snu13b,aatf,AK6,bms1,btk,BX927258.1,bxdc2,
hema.24,24,hematopoietic,vasculature,vasculature,carotid artery + cranial vessels,vasculature,carotid artery + cranial,"ZFA:0000005,ZFA:0000097",hema.24,hema.ct.24,cdh5,acvrl1,ehd2b,si:ch211-156j16.1,krt18a.1,myl9a,clec14a,krt8,cdh5,acvrl1,ANO7,avpr1ab,ca16b,CABZ01073736.1,calcrla,
hema.25,25,hematopoietic,heart,endocardium,NA,endocardium,NA,ZFA:0001320,hema.25,hema.ct.25,cdh5+/kdrl-,nfatc1,mb,f8,krt94,id2b,icn,jun,si:ch211-222l21.1,ackr4b,adarb1a,angptl2b,anxa2a,bmp3,cavin2b,
hema.26,26,hematopoietic,immune,macrophages,microglia,macrophages,microglia,"ZFA:0009141,ZFA:0009077",hema.26,hema.ct.12,ccl34b.1,cmklr1,mpeg1.1,ccl34b.1,glula,havcr1,slc3a2a,CU499330.1,lgals3bpb,abhd12,apoc1,apoeb,BX539325.1,bzw2,c1qc,
hema.27,27,hematopoietic,erythrocytes,erythroblasts (primitive),"G2/M, oip5+",erythroblasts (primitive),"G2/M, oip5+",ZFA:0005237,hema.27,hema.ct.14,cdk1,kpna2,slc4a1a,si:ch211-69g19.2,slc4a1a,kif11,si:ch211-266i6.3,cdk1,aspm,aspm,ccnb3,cdc20,cdkn3,cep55l,g2e3,
hema.28,28,hematopoietic,vasculature,vasculature,blood-brain barrier,vasculature,blood-brain barrier,ZFA:0005927,hema.28,hema.ct.28,slc2a1a,slc7a5,sox7/bsg,fabp11a,zgc:158423,bsg,slc7a5,sox7,cldn5a,abcb11a,abcb4,abcc2,abcg2a,ca16b,ca4a,
hema.29,29,hematopoietic,,likely doublets,epidermis,likely doublets,epidermis,,hema.29,,cldnb,cldne,krt4,cyt1,krt4,krt5,cyt1l,tmsb1,cfl1l,anxa3a,cd9b,cldn1,col17a1a,cxl34b.11,cyp2y3,
hema.30,30,hematopoietic,vasculature,vasculature,vein (caudal + lymphatic precursor),vasculature,vein (caudal + lymphatic pre.),"ZFA:0000082,ZFA:0000180,ZFA:0005105",hema.30,hema.ct.30,negaly6,prox1a,dab2,cd63,marcksl1a,ctsla,cdh6,myct1a,ramp2,akap12a,angpt2a,b3gnt7,cdh6,cldn11a,CU984579.1,
hema.31,31,hematopoietic,vasculature,vasculature,arteries (incl. ca4a+),vasculature,arteries (incl. ca4a+),ZFA:0000005,hema.31,hema.ct.31,ca4a,mrc1a-,,zgc:112332,igfbp7,cpn1,si:dkey-261h17.1,plpp3,podxl,agtr1b,alpl,ca16b,ca4a,cd81b,cyr61l1,
hema.32,32,hematopoietic,erythrocytes,erythroblasts (primitive),fthl28 / tpmt.1 / desi1b+,erythroblasts (primitive),fthl28/tpmt.1/desi1b+,ZFA:0005237,hema.32,hema.ct.14,fthl27/29/31,mgst1.2,hbbe3,fthl31,fthl27,prdx1,hbbe3,mgst1.2,blvrb,aifm4,BX511021.1,fthl28,fthl31,hsp70.2,hsp70.3,
hema.33,33,hematopoietic,,likely doublets,blood / muscle,likely doublets,blood / muscle,,hema.33,,mylz3,tnni2a.4,hbbe2/creg1,mt-co2,mt-cyb,mt-atp6,COX3,mt-nd1,NC-002333.4,mt-co2,mt-cyb,mt-atp6,COX3,mt-nd1,NC-002333.4,
hema.34,34,hematopoietic,,likely doublets,blood / eye,likely doublets,blood / eye,,hema.34,,gngt2b,rcvrn2,hbbe2/creg1,gngt2b,rbp4l,ckbb,rcvrn2,syt5b,ckmt2a,abca4b,aipl2,ank2b,ankrd33aa,ankrd33ba,apba1b,
hema.35,35,hematopoietic,,likely doublets,blood / eye,likely doublets,blood / eye,,hema.35,,syt5b,vsx1,hbbe2,syt5b,calb2b,gnb3a,vsx1,snap25b,ckbb,bhlhe23,BX663503.1,CABZ01038709.1,calb2b,cnrip1b,cplx4a,
hema.36,36,hematopoietic,vasculature,vasculature,lymphatic (oit3+),vasculature,lymphatic (oit3+),ZFA:0005105,hema.36,hema.ct.36,aoc2,lyve1a,oit3,ponzr1,aoc2,igfbp7,ehd3,tmem88a,marcksl1b,aoc2,col13a1,ehd3,myo1hb,oit3,XLOC-005794,
hema.37,37,hematopoietic,vasculature,vasculature,lymphatic,vasculature,lymphatic,ZFA:0005105,hema.37,hema.ct.37,dab2/stab2,lyve1b,osr2,ctsla,cpn1,mrc1a,lyve1b,b3gnt7,lgmn,angpt2a,lyve1b,mafa,osr2,pcolce2b,pdgfaa,
hema.38,38,hematopoietic,immune,T cells,helper (il13+),T cells,helper (il13+),ZFA:0009046,hema.38,hema.ct.38,il13,il4,il11b,si:ch211-212d10.1,laptm5,si:dkey-21e2.15,si:dkey-21e2.8,si:dkey-21e2.16,si:dkey-21e2.13,adgre13,blk,BX322787.1,BX571675.1,ccl34b.4,cd247l,
hema.39,39,hematopoietic,immune,macrophages,spic+,macrophages,spic+,ZFA:0009141,hema.39,hema.ct.12,il1fma,spic,mpeg1.1,epcam,tmsb1,cldnb,f11r.1,icn,s100u,BX004816.1,cd44a,cdh28,cldn7b,CR381544.2,CR524827.1,
hema.40,40,hematopoietic,,likely doublets,blood / pigment,likely doublets,blood / pigment,,hema.40,,gch2,hbbe1.2/cahz,aox5,gch2,CABZ01021592.1,gstp1,zgc:110339,slc22a7a,uraha,slc22a7a,si:dkey-251i10.2,sprb,tmem130,aox5,slc2a15a,
iono.1,1,ionocytes,mucous,mucous secreting,"epidermal (muc5.1/5.2+, later)",mucous secreting,"epidermal (muc5.1/5.2+, later)",ZFA:0009159,iono.1,iono.ct.11,muc5.1,muc5.2,atp2a3,muc5.1,LOC110438378,si:dkey-65b12.6,muc5.2,aldob,CR383676.1,LOC110438378,muc5.2,muc5.1,si:dkey-65b12.6,stard10,atp2a3,
